respondent_idx,family_a_rate,family_c_rate,family_b_rate
661,0.06642066420664207,0.014760147601476014,
662,0.003289473684210526,0.019736842105263157,
663,0.02280130293159609,0.0,0.4820846905537459
664,0.0673758865248227,0.010638297872340425,
665,0.0,0.0,0.0
666,0.01509433962264151,0.026415094339622643,
667,0.025477707006369428,0.0,
668,0.0,0.0,0.0
669,0.0,0.0,0.0
670,0.012461059190031152,0.006230529595015576,
671,0.0,0.0,0.0
672,0.0,0.0,0.0
673,0.0,0.0,0.0
674,0.012618296529968454,0.0,0.47318611987381703
675,0.003105590062111801,0.0,0.0
676,0.0,0.0,0.0
677,0.0034602076124567475,0.0,0.0
678,0.0,0.0,0.0
679,0.0,0.0,0.0
680,0.0,0.0,0.0
681,0.010344827586206896,0.0,
682,0.0,0.0,0.0
683,0.019390581717451522,0.0,0.5290858725761773
684,0.0,0.0,
685,0.0,0.0,0.0
686,0.007168458781362007,0.0,0.0
687,0.0,0.0,0.0
688,0.0,0.0,0.0
689,0.0,0.0,0.0
690,0.0,0.0,0.0
691,0.011627906976744186,0.0,0.7674418604651163
692,0.0196078431372549,0.0196078431372549,
693,0.02909090909090909,0.0,0.0
694,0.01845018450184502,0.0,0.0
695,0.010033444816053512,0.05351170568561873,
696,0.003246753246753247,0.01948051948051948,
697,0.0,0.0,0.0
698,0.0,0.0,0.0
699,0.0,0.0,0.0
700,0.0,0.0,0.0
701,0.006153846153846154,0.0,0.3046153846153846
702,0.0,0.0,0.0
703,0.0,0.010714285714285714,
704,0.0,0.0,0.0
705,0.0,0.0,0.0
706,0.003484320557491289,0.0,0.0
707,0.0,0.0,0.0
708,0.008547008547008548,0.0,0.0
709,0.0,0.0,0.0
710,0.0,0.0,0.0
711,0.0,0.0,0.0
712,0.006211180124223602,0.003105590062111801,
713,0.06521739130434782,0.05434782608695652,
714,0.0,0.0,0.0
715,0.0,0.0,0.0
716,0.06020066889632107,0.006688963210702341,
717,0.04436860068259386,0.0,0.0
718,0.0,0.0,0.0
719,0.0,0.0,0.0
720,0.0,0.0,0.0
721,0.0,0.0,0.0
722,0.06688963210702341,0.006688963210702341,
723,0.007326007326007326,0.0,0.0
724,0.0,0.0,0.0
725,0.011560693641618497,0.0,0.8034682080924855
726,0.011049723756906077,0.0,0.8121546961325967
727,0.045112781954887216,0.007518796992481203,
728,0.003816793893129771,0.007633587786259542,
729,0.0,0.0,0.0
730,0.00390625,0.0,0.0
731,0.04983388704318937,0.0,0.0
732,0.0,0.0,0.0
733,0.0034965034965034965,0.0,0.0
734,0.0,0.0,0.0
735,0.2716417910447761,0.0,0.023880597014925373
736,0.03481012658227848,0.0,0.6645569620253164
737,0.0,0.0,0.0
738,0.014545454545454545,0.0036363636363636364,
739,0.06808510638297872,0.00425531914893617,
740,0.0,0.0,0.0
741,0.02416918429003021,0.0,0.5619335347432024
742,0.03611111111111111,0.0,0.8472222222222222
743,0.0038022813688212928,0.0,0.0
744,0.0,0.0,0.0
745,0.0,0.003703703703703704,
746,0.0,0.0,0.0
747,0.0,0.0038022813688212928,0.0
748,0.0,0.0,0.0
749,0.0,0.0,0.0
750,0.0,0.0,0.0
751,0.0,0.003355704697986577,
752,0.00390625,0.0,0.0
753,0.0036101083032490976,0.0,0.0
754,0.0,0.0035842293906810036,
755,0.019390581717451522,0.0,0.8808864265927978
756,0.0,0.0,0.0
757,0.031914893617021274,0.06028368794326241,
758,0.0,0.0,0.0
759,0.02197802197802198,0.0,0.0
760,0.05017921146953405,0.017921146953405017,
761,0.09541984732824428,0.061068702290076333,
762,0.09818181818181818,0.06545454545454546,
763,0.0,0.0034129692832764505,
764,0.006896551724137931,0.0,
765,0.0,0.0,0.0
766,0.010309278350515464,0.0,0.0
767,0.0,0.0,0.0
768,0.0,0.0,0.0
769,0.006896551724137931,0.0,0.0
770,0.003424657534246575,0.00684931506849315,
771,0.0036900369003690036,0.0,
772,0.03333333333333333,0.0,
773,0.0,0.0,0.0
774,0.0,0.0,0.0
775,0.0,0.0,0.0
776,0.0,0.0,0.0
777,0.012048192771084338,0.020080321285140562,
778,0.006825938566552901,0.0,0.0
779,0.04126984126984127,0.0,0.0
780,0.041379310344827586,0.02413793103448276,
781,0.0,0.0,0.0
782,0.003663003663003663,0.0,0.0
783,0.0,0.0,
784,0.0,0.0,0.0
785,0.003875968992248062,0.0,0.0
786,0.0,0.0,0.0
787,0.0,0.0,0.0
788,0.0033112582781456954,0.0,0.0
789,0.06790123456790123,0.0,
790,0.025179856115107913,0.0,
791,0.01444043321299639,0.036101083032490974,
792,0.0,0.0,0.0
793,0.007067137809187279,0.0176678445229682,
794,0.006968641114982578,0.0,0.0
795,0.028688524590163935,0.004098360655737705,
796,0.014388489208633094,0.0,0.0
797,0.003003003003003003,0.0,
798,0.010869565217391304,0.0,0.7989130434782609
799,0.0034602076124567475,0.0034602076124567475,
800,0.0,0.0,
801,0.0,0.0,0.0
802,0.007142857142857143,0.0,0.0
803,0.0,0.0,0.0
804,0.012422360248447204,0.0,0.531055900621118
805,0.13432835820895522,0.011194029850746268,
806,0.007575757575757576,0.003787878787878788,
807,0.0,0.0,
